V1	V2	V3	V4	V5	V6	V7
142	0.452	0.936	0.007	0.026	0.004	0.375	0.471
143	0.694	0.721	0.861	0.927	0.559	0.935	0.879
144	0.393	0.851	0.923	0.701	0.004	0.48	0.952
145	0.644	0.697	0.919	0.958	0.148	0.494	0.784
146	0.495	0.191	0.757	0.927	0.001	0.241	0.97
147	0.52	0.646	0.752	0.952	0.87	0.648	0.769
148	0.816	0.799	0.821	0.357	0.073	0.964	0.656
149	0.659	0.752	0.807	0.082	0.005	0.977	0.938
150	0.781	0.813	0.003	0.001	0.001	0.028	0.557
151	0.555	0.983	0.724	0.351	0.008	0.723	0.489
152	0.848	0.896	0.27	0.416	0.001	0.419	0.897
153	0.748	0.961	0.691	0.958	0.187	0.746	0.816
154	0.857	0.719	0.368	0.288	0.028	0.356	0.438
155	0.199	0.954	0.003	0.001	0.001	0.067	0.325
156	0.723	0.56	0.969	0.619	0.569	0.964	0.819
157	0.814	0.723	0.001	0.178	0.193	0.128	0.323
158	0.965	0.79	0.754	0.926	0.974	0.985	0.883
159	0.654	0.712	0.915	0.247	0.475	0.824	0.589
160	0.832	0.701	0.972	0.668	0.251	0.56	0.374
161	0.716	0.781	0.867	0.687	0.775	0.994	0.993
162	0.596	0.634	0.874	0.983	0.869	0.568	0.57
163	0.812	0.718	0.112	0.304	0.001	0.162	0.415
164	0.46	0.854	0.289	0.637	0.218	0.938	0.995
165	0.604	0.883	0.742	0.965	0.483	0.955	0.808
166	0.703	0.88	0.487	0.093	0.105	0.798	0.984
167	0.377	0.778	0.01	0.15	0.001	0.238	0.31
168	0.603	0.53	0.001	0.771	0.599	0.136	0.987
169	0.26	0.891	0.321	0.013	0.013	0.885	0.701
170	0.726	0.799	0.025	0.095	0.006	0.56	0.235
171	0.679	0.722	0.158	0.264	0.001	0.622	0.736
172	0.707	0.37	0.005	0.415	0.291	0.096	0.689
173	0.181	0.759	0.568	0.626	0.01	0.441	0.488
174	0.624	0.392	0.61	0.465	0.031	0.874	0.871
