V1	V2	V3	V4	V5	V6	V7	V8	V9
137	0.522	0.089	0.062	0.364	0.895	0.041	0.004	0.012	0.4
138	0.222	0.263	0.447	0.041	0.543	0.128	0.406	0.208	0.55
139	0.497	0.272	0.119	0.673	0.898	0.045	0.128	0.009	0.586
140	0.201	0.556	0.472	0.296	0.647	0.04	0.001	0.159	0.929
141	0.316	0.718	0.119	0.11	0.434	0.258	0.131	0.015	0.992
142	0.787	0.421	0.244	0.236	0.215	0.004	0.001	0.424	0.563
143	0.865	0.439	0.277	0.651	0.974	0.142	0.016	0.131	0.427
144	0.878	0.799	0.246	0.163	0.566	0.051	0.008	0.062	0.483
145	0.752	0.786	0.109	0.425	0.744	0.025	0.008	0.033	0.943
146	0.352	0.269	0.703	0.386	0.449	0.103	0.006	0.067	0.853
147	0.555	0.246	0.247	0.601	0.662	0.084	0.003	0.399	0.633
148	0.83	0.133	0.223	0.731	0.799	0.007	0.067	0.202	0.42
149	0.195	0.344	0.246	0.516	0.55	0.025	0.013	0.3	0.644
150	0.729	0.328	0.133	0.444	0.828	0.026	0.005	0.077	0.407
151	0.246	0.964	0.978	0.451	0.66	0.039	0.001	0.199	0.567
152	0.564	0.428	0.085	0.197	0.175	0.101	0.043	0.234	0.478
153	0.675	0.192	0.171	0.839	0.533	0.003	0.031	0.002	0.682
154	0.908	0.177	0.513	0.572	0.617	0.086	0.035	0.652	0.465
155	0.423	0.567	0.325	0.449	0.772	0.029	0.003	0.003	0.647
156	0.421	0.828	0.243	0.622	0.661	0.332	0.028	0.005	0.607
157	0.998	0.085	0.629	0.237	0.754	0.03	0.005	0.036	0.477
158	0.606	0.262	0.148	0.399	0.735	0.002	0.003	0.13	0.509
159	0.384	0.232	0.372	0.216	0.648	0.307	0.023	0.045	0.744
160	0.375	0.663	0.174	0.314	0.973	0.077	0.001	0.033	0.676
161	0.331	0.322	0.175	0.513	0.127	0.042	0.018	0.079	0.574
162	0.861	0.422	0.62	0.244	0.278	0.032	0.071	0.093	0.41
163	0.389	0.101	0.247	0.786	0.719	0.03	0.166	0.3	0.742
164	0.76	0.965	0.686	0.499	0.757	0.003	0.105	0.069	0.706
165	0.21	0.398	0.283	0.279	0.772	0.077	0.003	0.01	0.732
166	0.97	0.933	0.099	0.27	0.314	0.014	0.082	0.027	0.476
167	0.334	0.717	0.355	0.396	0.849	0.002	0.014	0.094	0.421
168	0.879	0.556	0.44	0.646	0.94	0.008	0.018	0.067	0.636
169	0.418	0.903	0.439	0.25	0.207	0.039	0.008	0.024	0.763
170	0.284	0.121	0.257	0.705	0.529	0.278	0.049	0.013	0.523
171	0.606	0.51	0.742	0.277	0.209	0.04	0.044	0.069	0.336
172	0.397	0.584	0.709	0.382	0.51	0.123	0.001	0.124	0.562
173	0.675	0.365	0.914	0.626	0.696	0.152	0.003	0.155	0.719
174	0.218	0.12	0.26	0.467	0.184	0.182	0.001	0.667	0.359
175	0.872	0.187	0.436	0.459	0.936	0.003	0.002	0.004	0.366
176	0.783	0.379	0.747	0.632	0.633	0.157	0.077	0.046	0.316
177	0.426	0.632	0.392	0.133	0.263	0.271	0.001	0.038	0.549
178	0.446	0.068	0.828	0.431	0.748	0.004	0.002	0.007	0.439
179	0.137	0.421	0.145	0.482	0.707	0.142	0.034	0.735	0.598
180	0.323	0.509	0.108	0.395	0.341	0.033	0.029	0.051	0.757
181	0.204	0.357	0.249	0.199	0.743	0.021	0.002	0.07	0.309
